ModeType,StageID,GridSize,FrontQuestData,SideQuestData,TopQuestData
Alone_Plus,1,3,000 010 111,000 010 010,000 111 000
Alone_Plus,2,3,000 010 110,000 010 110,000 110 010
Alone_Plus,3,3,000 001 111,000 010 111,110 011 010
Alone_Plus,4,3,000 010 111,000 001 111,111 001 001
Alone_Plus,5,3,000 100 110,000 001 111,110 100 100
Alone_Plus,6,3,100 100 111,001 001 001,111 000 000
Alone_Plus,7,3,100 100 110,010 010 110,000 110 100
Alone_Plus,8,3,100 110 111,001 011 111,111 110 100
Alone_Plus,9,3,010 110 111,010 010 111,110 111 010
Alone_Plus,10,3,100 111 111,100 101 111,111 010 111
Alone_Plus,11,4,0000 0000 0101 0111,0000 0000 0110 1110,0000 0111 0111 0010
Alone_Plus,12,4,0000 0100 1110 1110,0000 0100 1100 1110,0000 0100 1110 1110
Alone_Plus,13,4,0000 1000 1010 1110,0000 0010 0110 1111,1000 1110 1000 1000
Alone_Plus,14,4,0000 0010 0110 0111,0000 0001 0011 0111,0111 0110 0010 0000
Alone_Plus,15,4,0000 0010 0110 0111,0000 0010 0110 0111,0100 0110 0111 0000
Alone_Plus,16,4,0000 0010 0110 1111,0000 0100 1110 1111,1000 1110 0111 0010
Alone_Plus,17,4,0000 0100 0101 0111,0000 0010 0010 0110,0000 0111 0110 0000
Alone_Plus,18,4,0000 0110 0110 0111,0000 0110 1110 1110,0000 0011 0110 0100
Alone_Plus,19,4,0000 0010 0111 1111,0000 0100 0101 1111,0001 0001 1111 0001
Alone_Plus,20,4,0000 0110 1111 1111,0000 0110 1110 1111,1000 1110 1111 1000
Alone_Plus,21,5,00000 00000 00000 01111 01111,00000 00000 00000 01110 01110,00000 01111 01000 01000 00000
Alone_Plus,22,5,00000 00000 00000 00111 01111,00000 00000 00000 01100 11100,00000 00000 00011 01111 01000
Alone_Plus,23,5,00000 10000 10010 10110 11110,00000 00010 00011 00011 01111,00010 11110 10000 10000 00000
Alone_Plus,24,5,00000 00100 00100 01110 01111,00000 00010 00110 01111 01111,01000 01111 00100 00100 00000
Alone_Plus,25,5,10000 10000 10100 10100 11110,00001 00001 00101 00101 11111,10000 10000 10100 10100 11110
Alone_Plus,26,5,00000 00100 01110 11110 11111,00000 00100 00100 00100 00100,00000 00000 11111 00000 00000
Alone_Plus,27,5,00000 00000 00100 00110 01110,00000 00000 00010 01010 11110,00000 01110 00100 00100 00100
Alone_Plus,28,5,00000 00000 11000 11100 11110,00000 00000 00010 00110 01110,00000 11110 11000 11000 00000
Alone_Plus,29,5,00000 00100 00110 01110 11111,00000 00100 00100 01110 11111,00100 00100 11111 00100 00100
Alone_Plus,30,5,00000 00000 00100 01110 11111,00000 00000 00100 01110 11111,11111 11111 11111 11111 11111
Alone_Plus,31,3,000 101 111,000 101 111,111 010 011
Alone_Plus,32,4,0000 0100 1110 1111,0000 0010 0110 0110,0000 1110 1111 0000
Alone_Plus,33,3,100 111 111,010 110 110,000 111 111
Alone_Plus,34,4,0000 0010 0111 1111,0000 0100 0101 1111,0111 0100 1111 0100
Alone_Plus,35,5,00000 00100 00100 10100 11110,00000 00001 00101 10101 11111,00110 10010 11110 10010 10000
Alone_Plus,36,5,00000 00000 11000 11110 11111,00000 00000 01100 01100 11110,00000 00111 11110 11111 10010
Alone_Plus,37,3,001 011 111,010 011 111,110 011 010
Alone_Plus,38,4,0000 0010 1010 1111,0000 0001 1101 1111,1111 1000 0110 1001
Alone_Plus,39,5,00000 00000 00000 10101 11111,00000 00000 00000 11111 11111,11111 10101 10001 10101 11111
Alone_Plus,40,3,000 111 111,000 111 111,101 010 011
Alone_Plus,41,3,010 010 110,010 011 111,010 110 010
Alone_Plus,42,3,100 100 111,001 011 011,101 111 000
Alone_Plus,43,4,0100 0100 1110 1110,0100 0100 0101 1111,1100 0100 0110 1100
Alone_Plus,44,5,00000 10100 10100 11110 11111,00000 00011 00011 01011 01111,11111 10100 00100 00110 00000
Alone_Plus,45,5,00000 00000 10101 11111 11111,00000 00000 10011 11111 11111,11100 00111 11100 10100 10110
Alone_Plus,46,5,00000 00100 00100 10110 11111,00000 00100 00100 01110 11110,00000 11100 10111 00110 00100
Alone_Plus,47,5,00000 00010 01010 11110 11110,00000 00010 01110 01110 01110,00000 11010 01010 01110 00000
Alone_Plus,48,4,1000 1100 1110 1111,0001 0011 0111 1111,1111 1100 1000 1000
Alone_Plus,49,4,0000 0110 0110 1111,0000 0110 0110 1111,0010 1110 0111 0100
Alone_Plus,50,5,00000 00000 00110 00110 00111,00000 00000 01011 01111 11111,00111 00111 00111 00110 00100
Alone_Minus,1,3,000 001 011,000 010 111,001 011 001
Alone_Minus,2,3,100 110 110,001 001 111,110 110 010
Alone_Minus,3,3,100 110 111,001 011 011,111 111 000
Alone_Minus,4,3,110 111 111,001 001 011,111 001 000
Alone_Minus,5,3,000 100 110,000 110 110,000 110 110
Alone_Minus,6,3,110 110 110,110 110 111,110 110 110
Alone_Minus,7,3,100 110 111,010 110 110,000 111 100
Alone_Minus,8,3,100 110 111,001 111 111,111 010 110
Alone_Minus,9,3,000 011 011,000 110 110,000 011 011
Alone_Minus,10,3,000 011 011,000 011 111,011 011 001
Alone_Minus,11,4,0000 0000 0100 1111,0000 0000 0010 0110,0000 1101 0111 0000
Alone_Minus,12,4,0000 0000 0100 0110,0000 0000 0110 1111,0100 0110 0110 0100
